trip_purpose,passanger,weather_condition,ambient_temp,time_block,offer_validity,customer_gender,age_group,marital_status,household_children_flag,education_level,employment_type,income_band,vehicle_class,accepted_flag,behavioral_index,segment_flag,activity_score,risk_index,recency_score,id
No Urgent Place,Alone,Sunny,54.45280972522546,6PM,2h,Male,36,Married partner,0.988851461476903,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,,0,-0.3508740481345265,3,0.5025650457988958,0.6386371577519551,0.1895577931879705,0
Home,Alone,Snowy,79.77297630528045,6PM,1d,Female,below21,Unmarried partner,1.0164524740027512,Some college - no degree,Education&Training&Library,$37500 - $49999,,1,-0.10698449756542053,3,0.45879567154305523,1.2539368350986275,0.07816630293714444,1
No Urgent Place,Alone,Sunny,56.49593071102714,2PM,1d,Male,50plus,Unmarried partner,0.9969301250188252,Bachelors degree,Personal Care & Service,$100000 or More,Car that is too old to install Onstar :D,1,0.16654065558192888,0,0.08051057004265444,1.823680929332721,0.09289023654757944,2
Home,Alone,Sunny,55.20575893964415,6PM,1d,Male,21,Single,0.012159688188516614,Some college - no degree,Unemployed,$75000 - $87499,,1,-0.39963661133106343,1,0.0770563294774303,1.753229997420384,0.7792771426159187,3
Work,Kid(s),Sunny,80.6346347008937,7AM,2h,Female,41,Single,1.0090452417233784,Some college - no degree,Business & Financial,$12500 - $24999,,0,-1.049038598020542,0,0.3511489315798491,0.23717269094230914,0.1093419001506174,4
No Urgent Place,Friend(s),Sunny,28.88227743272008,10PM,1d,Female,31,Unmarried partner,0.03194510088031291,Graduate degree (Masters or Doctorate),Construction & Extraction,$25000 - $37499,Car that is too old to install Onstar :D,1,0.47852265173557024,2,0.27495365928241516,0.982448127636275,0.7209137655704254,5
Home,Kid(s),Sunny,55.43761329604642,2PM,1d,Female,46,Married partner,0.9631957062863272,Some college - no degree,Sales & Related,$25000 - $37499,,1,0.31738109030119194,0,0.4645011234113743,0.9138909117415519,0.6432744716502597,6
Home,Alone,Sunny,53.967020231088874,10PM,1d,Female,below21,Single,0.040350414565265724,Some college - no degree,Student,$62500 - $74999,,1,-0.8544485218814781,2,0.5473848866289783,0.8005342038959475,0.9753138558982748,7
Work,Alone,Sunny,56.80734229252181,7AM,1d,Male,41,Single,0.0018632261449729977,Some college - no degree,Sales & Related,$12500 - $24999,,0,-0.6724930170476392,1,0.4582826198142949,2.076321673248482,0.8500391633903744,8
Work,Alone,Sunny,79.97106707971083,7AM,2h,Male,36,Married partner,0.0072819298048988216,Some college - no degree,Protective Service,$100000 or More,Scooter and motorcycle,1,-0.8335461567564089,0,0.3563320491683328,1.417969222659352,0.2988542565380925,9
No Urgent Place,Friend(s),Sunny,79.92810078999184,2PM,2h,Male,below21,Single,0.004602814387150992,Some college - no degree,Student,$50000 - $62499,,1,2.133835642957317,0,0.2571886251296503,0.3949091985646344,0.2619754987478161,10
Work,Alone,Rainy,54.64336267678752,10PM,1d,Male,50plus,Unmarried partner,1.0528106750607105,Associates degree,Retired,$50000 - $62499,Scooter and motorcycle,1,-0.847180320784874,0,0.11861615488676235,1.4131173062312077,0.5054632160999368,11
Home,Partner,Sunny,55.32871401906808,10PM,1d,Female,26,Single,-0.015248143768706493,Bachelors degree,Sales & Related,$75000 - $87499,,0,0.11582592236941625,1,0.259296571327375,0.5023190015607089,0.2101038518466547,12
Home,Alone,Sunny,29.811589563682173,6PM,1d,Female,31,Widowed,-0.024736250750631527,Bachelors degree,Student,$25000 - $37499,do not drive,1,0.40178452437885454,0,0.04471406967521578,0.8610092670909599,0.8864818859062195,13
No Urgent Place,Friend(s),Sunny,79.08766738520889,6PM,2h,Female,21,Single,0.02035305403911762,Bachelors degree,Student,$62500 - $74999,,0,-1.6091249095755344,1,0.3038251929541771,1.567563354840488,0.6994566523923135,14
No Urgent Place,Friend(s),Sunny,29.95891451607408,10AM,2h,Male,21,Single,0.020167184490640883,Some college - no degree,Student,$100000 or More,,1,0.7767531244974936,1,0.131593674424305,1.4619668370621224,0.8340854008946461,15
No Urgent Place,Alone,Rainy,55.51028139910992,2PM,2h,Female,21,Single,-0.020652715098479754,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,0,0.231239363948008,1,0.4199331154730833,2.547146401803115,0.6569799188308616,16
Home,Alone,Sunny,55.24293241571285,6PM,1d,Male,41,Single,-0.03991322700854418,High School Graduate,Construction & Extraction,$12500 - $24999,,0,0.04303162170927327,0,0.2816871724814082,1.0152927392951063,0.49275130120980615,17
Work,Alone,Sunny,54.958554974377314,2PM,1d,Female,31,Unmarried partner,-0.01713792594745895,Some college - no degree,Office & Administrative Support,$75000 - $87499,,1,0.10266190876445361,3,0.1570899673551243,0.4655623045090924,0.036372279739144586,18
No Urgent Place,Friend(s),Rainy,56.229136517334666,10AM,2h,Male,36,Single,0.0003262340811085371,Some college - no degree,Business & Financial,$37500 - $49999,,0,0.7494720974748054,1,0.28736130516986047,1.0228974716256278,0.8091592883659727,19
Work,Alone,Rainy,54.65216832680061,6PM,1d,Female,31,Single,0.034526336669960314,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,0,0.6039011090194747,1,0.26836105222384815,0.39791608629479547,0.8907064215444981,20
No Urgent Place,Friend(s),Sunny,79.47487863312223,10PM,1d,Male,26,Single,0.004462068322284894,Bachelors degree,Community & Social Services,$25000 - $37499,,0,1.0237371432616391,0,0.30792628230485597,1.9650375861953562,0.4431171422542003,21
Home,Partner,Sunny,80.60390892241536,10PM,2h,Male,21,Single,-0.03151077181796462,Some college - no degree,Student,$100000 or More,do not drive,0,0.6459304702058516,1,0.31139476208588523,0.9780166211585721,0.6124904901763151,22
Home,Alone,Sunny,77.85494435420895,6PM,2h,Female,31,Single,0.012493495713187742,Associates degree,Construction & Extraction,$75000 - $87499,,0,-2.8776793904582205,0,0.25849333670581837,1.1588548251554514,0.6613810032046707,23
